DEPTH,GR7-3,GR7-8,GRA-53
1400.44,37.09,,
1400.94,39.56,,
1401.44,40.09,,
1401.94,39.13,,
1402.44,34.84,,
1402.94,34.81,,
1403.44,33.66,,
1403.94,35.09,,
1404.44,38.81,,
1404.94,41.19,,
1405.44,42.66,,
1405.94,41.84,,
1406.44,39.53,,
1406.94,40.03,,
1407.44,38.22,,
1407.94,41.78,,
1408.44,41.25,,
1408.94,41.59,,
1409.44,41.97,,
1409.94,45.66,,
1410.44,46.66,,
1410.94,46.22,,
1411.44,44.06,,
1411.94,43.19,,
1412.44,41.94,,
1412.94,42.72,,
1413.44,44.59,,
1413.94,47.44,,
1414.44,50.28,,
1414.94,50.81,,
1415.44,48.13,,
1415.94,46.19,,
1416.44,46.31,,
1416.94,47.63,,
1417.44,43.94,,
1417.94,40.47,,
1418.44,38.63,,
1418.94,39.63,,
1419.44,39.53,,
1419.94,42.56,,
1420.44,42.59,,
1420.94,44.00,,
1421.44,43.09,,
1421.94,42.84,,
1422.44,44.16,,
1422.94,42.81,,
1423.44,43.69,,
1423.94,43.31,,
1424.44,44.69,,
1424.94,43.78,,
1425.44,39.41,,
1425.94,35.41,,
1426.44,34.78,,
1426.94,36.53,,
1427.44,38.53,,
1427.94,38.34,,
1428.44,40.16,,
1428.94,41.94,,
1429.44,41.38,,
1429.94,41.78,,
1430.44,39.13,,
1430.94,41.56,,
1431.44,39.59,,
1431.94,40.78,,
1432.44,39.94,,
1432.94,40.47,,
1433.44,38.28,,
1433.94,33.81,,
1434.44,34.25,,
1434.94,34.47,,
1435.44,37.28,,
1435.94,35.75,,
1436.44,33.97,,
1436.94,33.06,,
1437.44,34.50,,
1437.94,34.19,,
1438.44,33.91,,
1438.94,33.66,,
1439.44,36.13,,
1439.94,35.59,,
1440.44,36.19,,
1440.94,33.84,,
1441.44,35.56,,
1441.94,31.50,,
1442.44,31.80,,
1442.94,32.00,,
1443.44,32.63,,
1443.94,32.88,,
1444.44,33.22,,
1444.94,37.03,,
1445.44,39.72,,
1445.94,39.19,,
1446.44,36.25,,
1446.94,34.97,,
1447.44,35.44,,
1447.94,38.19,,
1448.44,39.31,,
1448.94,40.13,,
1449.44,39.63,,
1449.94,39.28,,
1450.44,37.94,,
1450.94,36.59,,
1451.44,37.81,,
1451.94,40.09,,
1452.44,45.72,,
1452.94,49.63,,
1453.44,53.47,,
1453.94,59.53,,
1454.44,62.81,,
1454.94,62.00,,
1455.44,57.91,,
1455.94,57.03,,
1456.44,59.81,,
1456.94,61.00,,
1457.44,59.69,,
1457.94,63.41,,
1458.44,63.53,,
1458.94,66.63,,
1459.44,62.47,,
1459.94,63.72,,
1460.44,64.69,,
1460.94,63.88,,
1461.44,66.13,,
1461.94,66.13,,
1462.44,72.00,,
1462.94,70.38,,
1463.44,71.31,,
1463.94,70.31,,
1464.44,69.50,,
1464.94,68.19,,
1465.44,68.38,,
1465.94,68.13,,
1466.44,66.19,,
1466.94,66.00,,
1467.44,72.25,,
